MD	TVD
4736.5	4664.541922
4737	4665.034326
4737.5	4665.52673
4738	4666.019134
4738.5	4666.511538
4739	4667.003942
4739.5	4667.496345
4740	4667.988749
4740.5	4668.481153
4741	4668.973557
4741.5	4669.465961
4742	4669.958365
4742.5	4670.450769
4743	4670.943173
4743.5	4671.435576
4744	4671.92798
4744.5	4672.420384
4745	4672.912788
4745.5	4673.405192
4746	4673.897596
4746.5	4674.39
4747	4674.882404
4747.5	4675.374807
4748	4675.867211
4748.5	4676.359615
4749	4676.852019
4749.5	4677.344423
4750	4677.836827
4750.5	4678.329231
4751	4678.821635
4751.5	4679.314038
4752	4679.806442
4752.5	4680.298846
4753	4680.79125
4753.5	4681.283654
4754	4681.776058
4754.5	4682.268462
4755	4682.760866
4755.5	4683.253269
4756	4683.745673
4756.5	4684.238077
4757	4684.730481
4757.5	4685.222885
4758	4685.715289
4758.5	4686.207693
4759	4686.700097
4759.5	4687.1925
4760	4687.684904
4760.5	4688.177308
4761	4688.669712
4761.5	4689.162116
4762	4689.65452
4762.5	4690.146924
4763	4690.639328
4763.5	4691.131731
4764	4691.624135
4764.5	4692.116539
4765	4692.608943
4765.5	4693.101347
4766	4693.593751
4766.5	4694.086155
4767	4694.578559
4767.5	4695.070962
4768	4695.563366
4768.5	4696.05577
4769	4696.548174
4769.5	4697.040578
4770	4697.532982
4770.5	4698.025386
4771	4698.51779
4771.5	4699.010193
4772	4699.502597
4772.5	4699.995001
4773	4700.487405
4773.5	4700.979809
4774	4701.472213
4774.5	4701.964617
4775	4702.457021
4775.5	4702.949425
4776	4703.441828
4776.5	4703.934232
4777	4704.426636
4777.5	4704.91904
4778	4705.411444
4778.5	4705.903848
4779	4706.396252
4779.5	4706.888656
4780	4707.381059
4780.5	4707.873463
4781	4708.365867
4781.5	4708.858271
4782	4709.350675
4782.5	4709.843079
4783	4710.335483
4783.5	4710.827887
4784	4711.32029
4784.5	4711.812694
4785	4712.305098
4785.5	4712.797502
4786	4713.289906
4786.5	4713.78231
4787	4714.274714
4787.5	4714.767118
4788	4715.259521
4788.5	4715.751925
4789	4716.244329
4789.5	4716.736733
4790	4717.229137
4790.5	4717.721541
4791	4718.213945
4791.5	4718.706349
4792	4719.198752
4792.5	4719.691156
4793	4720.18356
4793.5	4720.675964
4794	4721.168368
4794.5	4721.660772
4795	4722.153176
4795.5	4722.64558
4796	4723.137983
4796.5	4723.630387
4797	4724.122791
4797.5	4724.615195
4798	4725.107599
4798.5	4725.600003
4799	4726.092407
4799.5	4726.584811
4800	4727.077214
4800.5	4727.569618
4801	4728.062022
4801.5	4728.554426
4802	4729.04683
4802.5	4729.539234
4803	4730.031638
4803.5	4730.524042
4804	4731.016445
4804.5	4731.508849
4805	4732.001253
4805.5	4732.493657
4806	4732.986061
4806.5	4733.478465
4807	4733.970869
4807.5	4734.463273
4808	4734.955676
4808.5	4735.44808
4809	4735.940484
4809.5	4736.432888
4810	4736.925292
4810.5	4737.417696
4811	4737.9101
4811.5	4738.402504
4812	4738.894907
4812.5	4739.387311
4813	4739.879715
4813.5	4740.372119
4814	4740.864523
4814.5	4741.356927
4815	4741.849331
4815.5	4742.341735
4816	4742.834139
4816.5	4743.326542
4817	4743.818946
4817.5	4744.31135
4818	4744.803754
4818.5	4745.296158
4819	4745.788562
4819.5	4746.280966
4820	4746.77337
4820.5	4747.265773
4821	4747.758177
4821.5	4748.250581
4822	4748.742985
4822.5	4749.235389
4823	4749.727793
4823.5	4750.220197
4824	4750.712601
4824.5	4751.205004
4825	4751.697408
4825.5	4752.189812
4826	4752.682216
4826.5	4753.17462
4827	4753.667024
4827.5	4754.159428
4828	4754.651832
4828.5	4755.144235
4829	4755.636639
4829.5	4756.129043
4830	4756.621447
4830.5	4757.113851
4831	4757.606255
4831.5	4758.098659
4832	4758.591063
4832.5	4759.083466
4833	4759.57587
4833.5	4760.068274
4834	4760.560678
4834.5	4761.053082
4835	4761.545486
4835.5	4762.03789
4836	4762.530294
4836.5	4763.022697
4837	4763.515101
4837.5	4764.007505
4838	4764.499909
4838.5	4764.992313
4839	4765.484717
4839.5	4765.977121
4840	4766.469525
4840.5	4766.961928
4841	4767.454332
4841.5	4767.946736
4842	4768.43914
4842.5	4768.931544
4843	4769.423948
4843.5	4769.916352
4844	4770.408756
4844.5	4770.901159
4845	4771.393563
4845.5	4771.885967
4846	4772.378371
4846.5	4772.870775
4847	4773.363179
4847.5	4773.855583
4848	4774.347987
4848.5	4774.84039
4849	4775.332794
4849.5	4775.825198
4850	4776.317602
4850.5	4776.810006
4851	4777.30241
4851.5	4777.794814
4852	4778.287218
4852.5	4778.779621
4853	4779.272025
4853.5	4779.764429
4854	4780.256833
4854.5	4780.749237
4855	4781.241641
4855.5	4781.734045
4856	4782.226449
4856.5	4782.718853
4857	4783.211256
4857.5	4783.70366
4858	4784.196064
4858.5	4784.688468
4859	4785.180872
4859.5	4785.673276
4860	4786.16568
4860.5	4786.658084
4861	4787.150487
4861.5	4787.642891
4862	4788.135295
4862.5	4788.627699
4863	4789.120103
4863.5	4789.612507
4864	4790.104911
4864.5	4790.597315
4865	4791.089718
4865.5	4791.582122
4866	4792.074526
4866.5	4792.56693
4867	4793.059334
4867.5	4793.551738
4868	4794.044142
4868.5	4794.536546
